movies_id,id,year,exclude,film,lead studio,rotten tomatoes,audience score,story,genre,number of theatres in opening weekend us,box office average per cinema,domestic gross,foreign gross,worldwide gross,budget,profit,proftitability,opening weekend,oscar,bafta,source,column
movies-0414,415,200,,in bruges,independent,81.0,85,fish out of water,crime,,,7.8e-06,2.559e-05,3.2e-05,1.5e-05,1.7e-05,2.13,4.6000000000000004e-07,,,http://www.the-numbers.com/movies/2008/bruge.php,
movies-0415,416,200,,indiana jones and the kingdom of the crystal skull,paramount,77.0,59,pursuit,action,4260.0,0.023507,0.00031702,0.00046952999999999996,0.0007866,0.000185,0.0006016,4.25,0.0001001,,,,
movies-0416,417,200,,iron man,paramount,94.0,91,metamorphosis,action,4105.0,0.024024,0.00031831,0.00026676,0.0005819,0.000186,0.0003959,3.13,9.862e-05,,,,
movies-0417,418,200,,journey to the center of the earth,warner bros.,61.0,55,quest,action,2811.0,0.007477,0.0001017,0.00014029,0.0002207,4.5e-05,0.0001757,4.9,2.1e-05,,,,
movies-0418,419,200,,jumper,fox,16.0,50,rescue,action,3428.0,0.00798,8.017e-05,0.00014206,0.00022219999999999998,8.25e-05,0.00013969999999999998,2.69,2.74e-05,,,,
movies-0419,420,200,,kit kittredge: an american girl,warner bros.,78.0,26,the riddle,drama,,,1.766e-05,,1.77e-05,1e-05,7.7e-06,1.77,3.2999999999999997e-06,,,,
movies-0420,421,200,,kung fu panda,paramount,88.0,83,underdog,animation,4114.0,0.014642,0.00021543000000000002,0.00041631,0.0006319,0.0002,0.0004319,3.16,6.024e-05,,,,
movies-0421,422,200,,lakeview terrace,sony,46.0,44,rivalry,crime,2464.0,0.00609,3.926e-05,5.39e-06,4.3799999999999994e-05,2e-05,2.38e-05,2.19,1.5e-05,,,,
movies-0422,423,200,,leatherheads,universal,52.0,41,rivalry,comedy,2769.0,0.00458,3.123e-05,9.93e-06,4.1e-05,5.8e-05,-1.7e-05,0.71,1.2699999999999999e-05,,,,
movies-0423,424,200,,mad money,independent,22.0,51,comedy,comedy,2470.0,0.003132,2.067e-05,5.74e-06,2.61e-05,2.2e-05,4.1e-06,1.19,7.74e-06,,,,
