original_name,normalized_name,detected_type,confidence,unit_category,specific_unit,null_count,total_count,success_rate,error_count
movies_id,movies_id,STRING,1.0,,,0,656,1.0,0
id,id,CURRENCY,0.9984756097560976,,,0,656,1.0,0
year,year,NUMERIC,1.0,UnitCategory.TIME,year,0,656,1.0,0
exclude,exclude,BOOLEAN,1.0,,,528,656,1.0,0
film,film,STRING,0.9786259541984733,,,1,656,1.0,0
lead_studio,lead_studio,STRING,0.9835466179159049,,,109,656,1.0,0
rotten_tomatoes,rotten_tomatoes,NUMERIC,1.0,,,1,656,1.0,0
audience_score,audience_score,CURRENCY,1.0,,,0,656,1.0,0
story,story,STRING,1.0,,,2,656,1.0,0
genre,genre,STRING,1.0,,,0,656,1.0,0
number_of_theatres_in_opening_weekend,number_of_theatres_in_opening_weekend,NUMERIC,0.911620294599018,,,45,656,1.0,0
box_office_average_per_cinema,box_office_average_per_cinema,NUMERIC,0.7674418604651163,,,54,656,1.0,0
domestic_gross,domestic_gross,CURRENCY,0.6953846153846154,,,6,656,1.0,0
foreign_gross,foreign_gross,CURRENCY,0.6855241264559068,,,55,656,1.0,0
worldwide_gross,worldwide_gross,CURRENCY,0.5322085889570553,,,4,656,1.0,0
budget,budget,NUMERIC,0.9984496124031008,,,11,656,1.0,0
profit,profit,NUMERIC,0.5579268292682927,,,0,656,1.0,0
proftitability,proftitability,PERCENTAGE,0.5581395348837209,,,11,656,1.0,0
opening_weekend,opening_weekend,NUMERIC,0.5646153846153846,,,6,656,1.0,0
oscar,oscar,STRING,1.0,,,640,656,1.0,0
bafta,bafta,STRING,1.0,,,644,656,1.0,0
source,source,LINK,0.9934426229508196,,,351,656,1.0,0
column,column,LINK,1.0,,,655,656,1.0,0
