movies_id,id,year,exclude,film,lead_studio,rotten_tomatoes,audience_score,story,genre,number_of_theatres_in_opening_weekend,box_office_average_per_cinema,domestic_gross,foreign_gross,worldwide_gross,budget,profit,proftitability,opening_weekend,oscar,bafta,source,column
movies-0033,34,201,,faster,cbs,41.0,50,revenge,action,2454.0,3873.0,22.94,1.97,24.91,24.0,0.91,103.79%,8.52,,,,
movies-0034,35,201,True,for colored girls,independent,33.0,73,discovery,drama,2127.0,9167.0,37.69,17.32,37.7,21.0,16.7,179.52%,19.5,,,,
movies-0035,36,201,,from paris with love,independent,38.0,57,pursuit,action,2722.0,2997.0,24.08,28.72,52.8,52.0,0.8,101.54%,8.2,,,,
movies-0036,37,201,,furry vengeance,summit,8.0,36,comedy,comedy,2997.0,2211.0,17.63,18.34,35.97,35.0,0.97,102.77%,6.6,,,,
movies-0037,38,201,,get him to the greek,universal,73.0,63,comedy,comedy,2697.0,6515.0,60.97,30.42,91.39,40.0,51.39,228.48%,17.6,,,,
movies-0038,39,201,,going the distance,warner bros.,53.0,56,love,comedy,3030.0,2272.0,17.8,24.25,42.05,32.0,10.05,131.41%,6.9,,,,
movies-0039,40,201,,green zone,universal,53.0,60,quest,action,3003.0,4765.0,35.05,59.82,94.88,100.0,-5.12,94.88%,14.3,,,,
movies-0040,41,201,True,greenberg,independent,75.0,40,transformation,comedy,3.0,39384.0,4.23,1.92,6.15,,6.15,,0.11,,,,
movies-0041,42,201,,grown ups,independent,10.0,59,comedy,comedy,3534.0,11462.0,161.9,105.5,267.4,80.0,187.4,334.25%,40.5,,,,
movies-0042,43,201,,gulliver's travels,fox,21.0,31,journey and return,comedy,2546.0,2477.0,42.0,194,237.38,112.0,125.38,211.95%,6.3,,,,
movies-0043,44,201,True,hachiko: a dog's story,independent,58.0,85,sacrifice,drama,,,0.0,40.26,40.26,16.0,24.26,251.63%,18.0,,,,
movies-0044,45,201,,harry potter and the deathly hallows part 1,warner bros.,79.0,87,quest,adventure,4125.0,30307.0,295.0,660,955.41,125.0,830.41,764.33%,125.0,,,http://boxofficemojo.com/movies,
movies-0045,46,201,,hot tub time machine,mgm,64.0,57,journey and return,adventure,2754.0,5091.0,50.29,14.13,64.42,36.0,28.42,178.94%,14.0,,,,
movies-0046,47,201,,how to train your dragon,paramount,98.0,90,underdog,animation,4055.0,10785.0,217.58,277.3,494.88,165.0,329.88,299.93%,43.7,,,,
movies-0047,48,201,,i love you phillip morris,independent,71.0,57,love,comedy,100.0,,1.44,18.66,20.1,15.0,5.1,134.00%,0.11,,,,
movies-0048,49,201,True,i'm still here,independent,52.0,38,comedy,comedy,120.0,,0.41,0.14,0.55,,0.55,,0.097,,,,
movies-0049,50,201,,inception,warner bros.,86.0,93,journey and return,action,3792.0,16557.0,292.58,531,823.58,160.0,663.58,514.74%,62.8,,,,
movies-0050,51,201,,iron man 2,paramount,74.0,80,rivalry,action,4380.0,29252.0,312.43,309.62,622.1,200.0,422.1,311.05%,128.1,,,,
movies-0051,52,201,,jackass 3-d,paramount,63.0,72,comedy,documentary,3081.0,16343.0,117.19,52.76,169.95,20.0,149.95,849.75%,50.4,,,,
movies-0052,53,201,,jonah hex,warner bros.,13.0,24,revenge,action,2825.0,1904.0,10.55,0.36,10.9,47.0,-36.1,23.19%,5.4,,,,
movies-0053,54,201,True,just wright,fox,45.0,58,love,comedy,1831.0,4525.0,21.54,0.029,21.57,12.0,9.57,179.75%,8.3,,,http://forum.blu-ray.com/movies/141938-just-wright-review-thread-use-spoiler-tags.html. *nb unofficial budget figure - see links for sources,http://www.shadowandact.com/?p=23430
movies-0054,55,201,,kick-ass,independent,76.0,83,rivalry,action,3065.0,6469.0,48.07,48.06,96.13,30.0,66.13,320.43%,19.8,,,,
movies-0055,56,201,,killers,lionsgate,11.0,45,love,action,2859.0,5539.0,47.06,46.34,93.4,75.0,18.4,124.53%,15.8,,,,
movies-0056,57,201,,knight and day,fox,53.0,52,pursuit,action,3098.0,6501.0,76.42,185.26,261.68,117.0,144.68,223.66%,20.2,,,,
movies-0057,58,201,True,knucklehead,wwe studios,10.0,35,comedy,comedy,,,,,,,0.0,,,,,,
movies-0058,59,201,,leap year,universal,21.0,49,love,comedy,2511.0,3665.0,25.9,6.69,32.61,19.0,13.61,171.63%,9.2,,,,
movies-0059,60,201,,legend of the guardians: the owls of ga'hoole,warner bros.,51.0,65,rivalry,animation,3575.0,4507.0,55.64,84.26,139.9,80.0,59.9,174.88%,16.1,,,,
movies-0060,61,201,,legion,independent,19.0,36,monster force,action,2476.0,7069.0,40.17,27.74,67.91,26.0,41.91,261.19%,17.5,,,,
movies-0061,62,201,,letters to juliet,summit,40.0,62,love,comedy,2968.0,4562.0,53.03,26.15,79.18,30.0,49.18,263.93%,13.5,,,,
movies-0062,63,201,,life as we know it,independent,28.0,62,love,comedy,3150.0,4605.0,53.13,43.03,96.16,38.0,58.16,253.05%,14.5,,,,
movies-0063,64,201,,little fockers,independent,9.0,40,comedy,comedy,3536.0,8720.0,123.69,109.01,232.7,100.0,132.7,232.70%,30.83,,,,
movies-0064,65,201,,love & other drugs,fox,48.0,55,love,comedy,2455.0,3967.0,31.68,22.85,54.53,30.0,24.53,181.77%,9.74,,,,
movies-0065,66,201,,macgruber,independent,47.0,33,comedy,action,2551.0,1585.0,8.53,0.8,9.32,10.0,-0.68,93.20%,4.0,,,,
movies-0066,67,201,,machete,independent,73.0,66,revenge,action,2670.0,4276.0,26.59,15.55,42.15,20.0,22.15,210.75%,11.0,,,,
movies-0067,68,201,,marmaduke,fox,9.0,46,rivalry,comedy,3213.0,3610.0,33.64,49.71,83.36,50.0,33.36,166.72%,11.6,,,,
movies-0068,69,201,,megamind,paramount,72.0,73,transformation,animation,3944.0,9743.0,144.67,173.46,321.88,130.0,191.88,247.60%,46.02,,,,
movies-0069,70,201,True,morning glory,independent,54.0,54,comedy,comedy,2518.0,3655.0,31.01,27.78,58.78,40.0,18.78,146.95%,9.2,,,,
movies-0070,71,201,,mother and child,independent,79.0,61,transformation,drama,4.0,,1.11,3.76,4.87,7.0,-2.13,69.57%,0.43,,,,
movies-0071,72,201,True,my soul to take,relativity media,9.0,29,monster force,horror,2572.0,4605.0,14.74,5.09,19.83,25.0,-5.17,79.32%,6.8,,,,
movies-0072,73,201,,nanny mcphee returns,universal,77.0,54,comedy,comedy,2784.0,3020.0,29.01,64.23,93.25,35.0,58.25,266.43%,8.4,,,,
movies-0073,74,201,True,never let me go,independent,70.0,70,tragedy,drama,4.0,,2.43,7.3,9.45,15.0,-5.55,63.00%,0.11,,,,
movies-0074,75,201,True,our family wedding,independent,14.0,49,love,comedy,1605.0,4754.0,20.26,1.11,21.36,,21.36,,7.6,,,,
movies-0075,76,201,,paranormal activity 2,paramount,59.0,51,monster force,horror,3216.0,12649.0,84.75,92.75,177.51,3.0,174.51,5917.00%,40.67,,,http://boxofficemojo.com/movies/?id=paranormalactivity2.htm,
movies-0076,77,201,,percy jackson & the olympians: the lightning thief,fox,50.0,57,rivalry,action,3356.0,9308.0,88.77,137.73,226.5,95.0,131.5,238.42%,31.2,,,,
movies-0077,78,201,,piranha 3-d,the weinstein company,74.0,45,monster force,comedy,2470.0,4092.0,25.0,54.78,79.78,24.0,55.78,332.42%,10.1,,,http://www.the-numbers.com/movies/2009/abstv.php,
movies-0078,79,201,True,please give,sony,88.0,62,comedy,comedy,,,4.03,0.23,4.26,3.0,1.26,142.00%,0.1,,,,
movies-0079,80,201,,predators,fox,64.0,52,monster force,action,2669.0,9277.0,52.0,74.74,126.74,40.0,86.74,316.85%,24.8,,,,
movies-0080,81,201,,prince of persia: the sands of time,disney,36.0,71,rivalry,action,3646.0,3646.0,90.76,244.39,335.15,200.0,135.15,167.58%,30.0,,,,
movies-0081,82,201,,red,summit,71.0,72,rivalry,action,3255.0,6686.0,89.84,74.58,164.42,58.0,106.42,283.48%,21.8,,,,
movies-0082,83,201,,remember me,summit,28.0,70,love,drama,2212.0,3657.0,19.07,36.79,55.85,16.0,39.85,349.06%,8.0,,,,
movies-0083,84,201,,repo men,universal,22.0,43,rescue,action,2521.0,2430.0,13.79,4.62,18.41,32.0,-13.59,57.53%,6.1,,,,
movies-0084,85,201,,resident evil: afterlife,highlight communications,24.0,53,monster force,action,3203.0,8320.0,60.13,236.09,296.22,60.0,236.22,493.70%,26.7,,,,
movies-0085,86,201,,robin hood,universal,42.0,59,rivalry,action,3503.0,10295.0,105.27,216.4,321.67,200.0,121.67,160.84%,36.0,,,,
movies-0086,87,201,,salt,sony,62.0,62,revenge,action,3612.0,9970.0,118.31,175.19,293.5,110.0,183.5,266.82%,36.0,,,,
movies-0087,88,201,,saw 3-d,independent,10.0,47,escape,crime,2808.0,8024.0,45.71,76.8,122.51,20.0,102.51,612.55%,22.53,,,,
movies-0088,89,201,,scott pilgrim vs. the world,universal,81.0,83,underdog,action,2818.0,3765.0,31.52,16.05,47.58,60.0,-12.42,79.30%,10.6,,,,
movies-0089,90,201,,sex and the city 2,warner bros.,15.0,49,love,comedy,3445.0,3445.0,95.35,193,288.35,100.0,188.35,288.35%,31.0,,,,
movies-0090,91,201,,she's out of my league,paramount,57.0,60,love,comedy,2956.0,3307.0,32.01,16.8,48.81,20.0,28.81,244.05%,9.8,,,,
movies-0091,92,201,,shrek forever after,paramount,57.0,64,journey and return,animation,4359.0,16251.0,238.74,510.06,748.8,165.0,583.8,453.82%,70.8,,,,
movies-0092,93,201,,shutter island,paramount,68.0,73,the riddle,drama,2991.0,13729.0,128.01,166.79,294.8,80.0,214.8,368.50%,41.0,,,,
movies-0093,94,201,,skyline,independent,16.0,19,monster force,action,2880.0,4060.0,21.39,33.87,55.26,10.0,45.26,552.60%,11.69,,,,
movies-0094,95,201,,solitary man,independent,81.0,47,wretched excess,comedy,4.0,23734.0,4.36,0.7,5.06,15.0,-9.94,33.73%,0.09,,,,
movies-0095,96,201,,step up 3d,summit,46.0,67,transformation,drama,2435.0,6494.0,42.4,116.75,159.15,30.0,129.15,530.50%,15.8,,,http://www.the-numbers.com/movies/2009/abstv.php,
movies-0096,97,201,,stone,independent,49.0,20,rivalry,drama,6.0,12628.0,1.81,6.59,8.4,22.0,-13.6,38.18%,0.075,,,,
movies-0097,98,201,,takers,sony,27.0,57,rivalry,action,2206.0,9298.0,57.74,10.42,68.16,32.0,36.16,213.00%,20.5,,,,
movies-0098,99,201,,tangled,disney,89.0,88,love,animation,3603.0,13535.0,175.78,179.3,355.08,260.0,95.08,136.57%,48.77,,,,
movies-0099,100,201,,the a-team,fox,47.0,71,pursuit,action,3535.0,7262.0,77.22,99.81,177.03,100.0,77.03,177.03%,25.7,,,,
movies-0100,101,201,,the american,universal,66.0,37,rivalry,crime,2823.0,4668.0,35.61,10.39,46.0,20.0,26.0,230.00%,13.1,,,,
movies-0101,102,201,,the back-up plan,cbs,20.0,47,love,comedy,3280.0,3720.0,37.49,39.6,77.1,35.0,42.1,220.29%,12.2,,,,
movies-0102,103,201,,the book of eli,independent,48.0,68,quest,action,3111.0,10540.0,94.84,58.62,153.45,80.0,73.45,191.81%,32.7,,,,
movies-0103,104,201,,the bounty hunter,sony,7.0,41,rivalry,action,3074.0,6729.0,67.06,69.26,136.32,40.0,96.32,340.80%,20.7,,,http://boxofficemojo.com/movies,
movies-0104,105,201,,the chronicles of narnia: the voyage of the dawn treader,fox,49.0,63,quest,adventure,3555.0,6752.0,104.0,311,415.68,155.0,260.68,268.18%,24.0,,,,
movies-0105,106,201,True,the company men,independent,66.0,56,discovery,drama,,,,,,,0.0,,,,,,
movies-0106,107,201,,the crazies,liberty starz,72.0,54,monster force,horror,2476.0,6489.0,39.12,15.47,54.59,20.0,34.59,272.95%,16.07,,,http://boxofficemojo.com/movies/?id=crazies.htm,
movies-0107,108,201,,the expendables,independent,40.0,58,pursuit,action,3270.0,10650.0,103.07,171.4,274.47,82.0,192.47,334.72%,34.8,,,,
movies-0108,109,201,,the fighter,paramount,91.0,88,underdog,drama,2503.0,4848.0,93.0,35,129.19,25.0,104.19,516.76%,12.0,"sup. actor, sup. actress",,,
movies-0109,110,201,,the ghost writer,independent,83.0,68,the riddle,mystery,4.0,,15.54,44.48,60.02,45.0,15.02,133.38%,2.0,,,,
movies-0110,111,201,,the greatest,independent,52.0,39,discovery,drama,,,0.11,0.3,0.41,6.0,-5.59,6.83%,0.3,,,,
movies-0111,112,201,,the joneses,independent,61.0,47,temptation,comedy,,,1.48,0.49,6.41,10.0,-3.59,64.10%,0.51,,,http://www.imdb.com/title/tt1285309/,
movies-0112,113,201,,the karate kid,sony,66.0,75,underdog,action,3663.0,15197.0,176.59,182.53,359.13,40.0,319.13,897.83%,55.7,,,,
movies-0113,114,201,,the kids are all right,independent,94.0,72,comedy,comedy,847.0,4162.0,20.81,8.55,29.37,4.0,25.37,734.25%,3.5,,,,
movies-0114,115,201,,the killer inside me,independent,56.0,41,the riddle,crime,,,0.22,3.36,3.58,13.0,-9.42,27.54%,11.1,,,,
movies-0115,116,201,,the king's speech,independent,95.0,93,maturation,biography,700.0,6406.0,,,245.2,15.0,230.2,1634.67%,4.4,"best picture, director, actor, orig. screenplay",,,
movies-0116,117,201,,the last airbender,paramount,6.0,42,quest,action,3169.0,12725.0,131.77,187.35,319.12,150.0,169.12,212.75%,40.3,,,,
movies-0117,118,201,,the last exorcism,independent,73.0,32,monster force,drama,2874.0,7087.0,41.03,25.42,66.46,1.8,64.66,3692.22%,20.4,,,,
movies-0118,119,201,,the last song,disney,19.0,66,discovery,drama,2673.0,5989.0,62.95,26.09,89.04,20.0,69.04,445.20%,16.0,,,,
movies-0119,120,201,,the losers,warner bros.,47.0,55,revenge,action,2936.0,3204.0,23.59,5.79,29.38,25.0,4.38,117.52%,9.4,,,,
movies-0120,121,201,,the next three days,lionsgate,51.0,66,rescue,crime,2564.0,2552.0,21.15,20.6,41.75,30.0,11.75,139.17%,6.54,,,,
movies-0121,122,201,,the other guys,sony,78.0,57,comedy,action,3651.0,9735.0,119.22,51.05,170.27,100.0,70.27,170.27%,35.5,,,,
movies-0122,123,201,,the runaways,independent,68.0,56,maturation,biography,244.0,3300.0,3.57,1.11,4.68,10.0,-5.32,46.80%,0.8,,,,
movies-0123,124,201,,the social network,sony,96.0,89,rags to riches,biography,2771.0,8100.0,94.08,105.52,199.6,50.0,149.6,399.20%,22.4,,,,
movies-0124,125,201,,the sorcerer's apprentice,disney,42.0,57,pursuit,action,3504.0,5028.0,63.15,152.13,215.28,150.0,65.28,143.52%,17.6,,,,
movies-0125,126,201,True,the spy next door,relativity media,13.0,46,rivalry,action,2924.0,3326.0,24.31,19.27,43.58,,43.58,,9.7,,,,
movies-0126,127,201,,the switch,independent,52.0,44,comedy,comedy,2012.0,4193.0,27.78,19.95,47.73,19.0,28.73,251.21%,8.4,,,,
movies-0127,128,201,,the tourist,sony,20.0,44,,action,2756.0,5977.0,67.0,210,278.34,100.0,178.34,278.34%,16.0,,,,
movies-0128,129,201,,the town,warner bros.,94.0,83,rivalry,crime,2856.0,8322.0,92.18,52.37,144.55,37.0,107.55,390.68%,23.8,,,,
movies-0129,130,201,,the twilight saga: eclipse,summit,50.0,74,monster force,drama,4468.0,14510.0,300.53,393.05,693.58,68.0,625.58,1019.97%,64.8,,,,
movies-0130,131,201,,the wolfman,universal,33.0,38,monster force,drama,3222.0,9770.0,61.98,77.81,139.79,150.0,-10.21,93.19%,31.5,,,,
movies-0131,132,201,True,tooth fairy,fox,16.0,46,comedy,comedy,3344.0,4190.0,60.02,52.34,112.36,48.0,64.36,234.08%,14.0,,,,
movies-0132,133,201,,toy story 3,disney,99.0,91,rescue,animation,4028.0,27385.0,415.0,648.16,1063.16,200.0,863.16,531.58%,110.3,,,,
movies-0133,134,201,,tron: legacy,independent,50.0,67,fish out of water,action,3451.0,12578.0,148.21,143.2,291.41,170.0,121.41,171.42%,44.03,,,,
movies-0134,135,201,,true grit,paramount,96.0,86,quest,action,3047.0,8149.0,171.0,79,250.93,38.0,212.93,660.34%,24.0,,,,
movies-0135,136,201,,unstoppable,fox,86.0,73,rescue,action,3207.0,7075.0,80.02,66,146.02,100.0,46.02,146.02%,22.69,,,,
movies-0136,137,201,,valentine's day,warner bros.,17.0,54,love,comedy,3655.0,15351.0,110.49,106,216.49,52.0,164.49,416.33%,56.2,,,,
movies-0137,138,201,,vampires suck,independent,4.0,32,comedy,comedy,3233.0,3774.0,36.66,43.32,79.98,20.0,59.98,399.90%,12.2,,,,
movies-0138,139,201,,wall street: money never sleeps,independent,54.0,43,rivalry,drama,3565.0,5333.0,52.47,78.16,130.63,70.0,60.63,186.61%,19.0,,,,
movies-0139,140,201,True,when in rome,disney,15.0,44,love,comedy,2456.0,5029.0,32.68,10.36,43.04,,43.04,,12.3,,,,
movies-0140,141,201,,why did i get married too?,lionsgate,27.0,67,comedy,comedy,2155.0,13591.0,60.09,0.58,60.67,20.0,40.67,303.35%,29.3,,,,
movies-0141,142,201,,winter's bone,independent,94.0,73,quest,drama,,,6.25,1.54,7.8,2.0,5.8,390.00%,0.8,,,,
movies-0142,143,201,,yogi bear,,14.0,36,comedy,comedy,3515.0,4669.0,100.0,101,201.58,80.0,121.58,251.98%,16.4,,,http://boxofficemojo.com/movies/?id=yogibear.htm,
movies-0143,144,201,,you again,independent,18.0,45,comedy,comedy,2548.0,3300.0,25.7,6.16,31.86,20.0,11.86,159.30%,8.4,,,,
movies-0144,145,201,,you will meet a tall dark stranger,independent,43.0,35,love,comedy,402.0,,3.24,23.42,26.66,22.0,4.66,121.18%,0.16,,,,
movies-0145,146,201,,youth in revolt,the weinstein company,68.0,52,love,comedy,1873.0,3678.0,15.28,4.34,19.62,18.0,1.62,109.00%,6.9,,,,
movies-0146,147,201,,the tree of life,independant,84.0,61,discovery,drama,4.0,93230.0,13.3,41,54.3,32.0,22.3,169.70%,0.37,,,http://boxofficemojo.com/movies/?id=treeoflife.htm,
movies-0147,148,201,,midnight in paris,sony,93.0,84,love,romance,944.0,61777.0,56.18,83,139.18,17.0,122.18,818.69%,5.83,,,http://boxofficemojo.com/movies/?id=midnightinparis.htm,
movies-0148,149,201,,the descendants,20th century fox,89.0,88,discovery,drama,29.0,41038.0,24.54,,24.54,20.0,4.54,122.71%,4.38,,,http://www.timryansreelhawaii.com/?p=2387,
movies-0149,150,201,,harry potter and the deathly hallows part 2,warner bros,96.0,92,rivalry,adventure,4375.0,38672.0,381.01,947.1,1328.11,125.0,1203.11,1062.49%,169.19,,,http://boxofficemojo.com/movies/?id=harrypotter72.htm,
movies-0150,151,201,,twilight: breaking dawn,independant,26.0,68,love,romance,4061.0,34012.0,260.8,374,634.8,110.0,524.8,577.09%,138.12,,,http://boxofficemojo.com/movies/?id=breakingdawn.htm,
movies-0151,152,201,,transformers: dark of the moon,dreamworks pictures,35.0,67,quest,action,4088.0,23937.0,352.39,770.81,1123.2,195.0,928.2,576.00%,97.85,,,http://boxofficemojo.com/movies/?id=transformers3.htm,
movies-0152,153,201,,the hangover part ii,legendary pictures,35.0,58,comedy,comedy,3615.0,23775.0,254.46,327,581.46,80.0,501.46,726.83%,85.95,,,http://boxofficemojo.com/movies/?id=hangover2.htm,
movies-0153,154,201,,fast five,universal,78.0,83,escape,action,3644.0,23655.0,209.83,416.3,626.13,125.0,501.13,5.01,,,,,
movies-0154,155,201,,pirates of the caribbean: on stranger tides,disney,34.0,61,quest,action,4155.0,21697.0,241.07,802.8,1043.87,250.0,793.87,417.55%,90.15,,,http://boxofficemojo.com/movies/?id=piratesofthecaribbean4.htm,
movies-0155,156,201,,captain america: the first avenger,disney,78.0,75,metamorphosis,action,3715.0,17512.0,176.65,191.75,368.4,140.0,228.4,263.15%,65.06,,,http://boxofficemojo.com/movies/?id=captainamerica.htm,
movies-0156,157,201,,thor,disney,77.0,80,monster force,action,3955.0,16618.0,181.03,267.48,448.51,150.0,298.51,299.01%,65.72,,,http://boxofficemojo.com/movies/?id=thor.htm,
movies-0157,158,201,,cars 2,pixar,38.0,56,fish out of water,animation,4115.0,16072.0,191.45,360.4,551.85,200.0,351.85,275.93%,66.14,,,http://boxofficemojo.com/movies/?id=cars2.htm,
movies-0158,159,201,,paranormal activity 3,independant,68.0,58,monster force,horror,3321.0,15829.0,103.66,98.24,201.9,5.0,196.9,4037.94%,52.57,,,http://boxofficemojo.com/movies/?id=paranormalactivity3.htm,
movies-0159,160,201,,x-men: first class,disney,87.0,88,monster force,action,3641.0,15134.0,146.41,207.22,353.62,160.0,193.62,221.01%,55.1,,,http://boxofficemojo.com/movies/?id=xmenfirstclass.htm,
movies-0160,161,201,,rise of the planet of the apes,20th century fox,83.0,87,revenge,action,3648.0,15024.0,176.7,304.52,481.23,93.0,388.23,517.45%,54.81,,,http://boxofficemojo.com/movies/?id=riseoftheapes.htm,
movies-0161,162,201,,green lantern,warner bros,27.0,48,metamorphosis,action,3816.0,13935.0,116.6,103.25,219.85,200.0,19.85,109.93%,53.17,,,http://boxofficemojo.com/movies/?id=greenlantern.htm,
movies-0162,163,201,,kung fu panda 2,dreamworks animation,82.0,80,rivalry,animation,3925.0,12142.0,165.25,497.78,663.02,150.0,513.02,442.02%,47.66,,,http://boxofficemojo.com/movies/?id=kungfupanda2.htm,
movies-0163,164,201,,super 8,paramount,82.0,78,monster force,horror,3379.0,10492.0,127.0,132.71,259.71,50.0,209.71,519.43%,35.45,,,http://boxofficemojo.com/movies/?id=super8.htm,
movies-0164,165,201,,hop,relativity media,26.0,50,fish out of water,animation,3579.0,10490.0,108.09,75.87,183.95,63.0,120.95,291.99%,37.54,,,http://boxofficemojo.com/movies/?id=ihop.htm,
movies-0165,166,201,,the smurfs,sony pictures animation,23.0,50,fish out of water,animation,3395.0,10489.0,142.61,419.54,562.16,110.0,452.16,511.05%,35.61,,,http://boxofficemojo.com/movies/?id=smurfs.htm,
