movies_id,id,year,exclude,film,lead_studio,rotten_tomatoes,audience_score,story,genre,number_of_theatres_in_opening_weekend,box_office_average_per_cinema,domestic_gross,foreign_gross,worldwide_gross,budget,profit,proftitability,opening_weekend,oscar,bafta,source,column
movies-0000,1,201,,127 hours,independent,93.0,84,escape,adventure,916.0,2333.0,18.33,42.4,60.73,18.0,42.73,337.39%,0.26,,,http://boxofficemojo.com/movies/?id=127hours.htm,
movies-0001,2,201,,a nightmare on elm street,warner bros.,13.0,40,monster force,horror,3332.0,9875.0,63.08,52.59,115.66,35.0,80.66,330.46%,32.9,,,,
movies-0002,3,201,,alice in wonderland,disney,52.0,72,journey and return,adventure,3728.0,31143.0,334.19,690.2,1024.39,200.0,824.39,512.20%,116.1,,,,
movies-0003,4,201,,all about steve,independent,6.0,35,comedy,comedy,2251.0,4994.0,33.86,6.26,40.13,15.0,25.13,267.53%,11.2,,,http://www.the-numbers.com/movies/2009/abstv.php,
movies-0004,5,201,True,all good things,independent,33.0,64,the riddle,drama,2.0,,0.58,0.062,0.64,20.0,-19.36,3.20%,0.037,,,http://www.wikipedia.org,
movies-0005,6,201,,alpha and omega,crest,17.0,41,journey and return,animation,2625.0,3469.0,25.12,4.8,29.91,20.0,9.91,149.55%,9.1,,,,
movies-0006,7,201,True,barry munday,independent,43.0,43,maturation,comedy,,,,,,,0.0,,,,,,
movies-0007,8,201,,black swan,fox,88.0,86,wretched excess,drama,959.0,8742.0,106.95,222.44,329.39,13.0,316.39,2533.77%,8.38,best actress,,,
movies-0008,9,201,,brooklyn's finest,independent,42.0,47,temptation,action,1936.0,6896.0,27.2,9.15,36.31,17.0,19.31,213.59%,13.4,,,http://boxofficemojo.com/movies,
movies-0009,10,201,,buried,independent,86.0,63,escape,drama,11.0,9115.0,1.04,17.33,18.38,2.0,16.38,919.00%,0.103,,,http://boxofficemojo.com/movies,
movies-0010,11,201,,burlesque,paramount,36.0,66,rags to riches,drama,3037.0,3934.0,38.24,17.84,56.08,55.0,1.08,101.96%,11.95,,,http://boxofficemojo.com/movies/?id=burlesque.htm,
movies-0011,12,201,,case 39,independent,23.0,42,monster force,horror,2211.0,2420.0,13.26,14.93,28.19,26.0,2.19,108.42%,5.4,,,http://boxofficemojo.com/movies,
movies-0012,13,201,,cats & dogs: the revenge of kitty galore,independent,13.0,43,pursuit,action,3705.0,3314.0,43.59,68.9,112.48,85.0,27.48,132.33%,12.3,,,http://boxofficemojo.com/movies,
movies-0013,14,201,,charlie st. cloud,universal,27.0,62,discovery,romance,2718.0,4555.0,31.16,14.93,46.09,44.0,2.09,104.75%,12.4,,,http://boxofficemojo.com/movies,
movies-0014,15,201,,city island,independent,81.0,77,transformation,comedy,2.0,,6.67,1.19,7.86,6.0,1.86,131.00%,0.032,,,http://boxofficemojo.com/movies,
movies-0015,16,201,,clash of the titans,warner bros.,28.0,48,quest,action,3777.0,16213.0,163.21,330,493.21,125.0,368.21,394.57%,61.2,,,http://boxofficemojo.com/movies,
movies-0016,17,201,True,conviction,independent,68.0,71,rescue,biography,672.0,2424.0,6.79,2.92,9.71,12.5,-2.79,77.68%,1.62,,,http://boxofficemojo.com/movies,
movies-0017,18,201,True,cop out,warner bros.,19.0,45,the riddle,action,3150.0,5781.0,44.88,10.64,55.52,30.0,25.52,185.07%,18.21,,,http://boxofficemojo.com/movies,
movies-0018,19,201,True,country strong,sony,20.0,56,rags to riches,drama,1424.0,5145.0,20.21,0.31,20.52,15.0,5.52,136.80%,7.33,,,,
movies-0019,20,201,,cyrus,independent,80.0,51,rivalry,comedy,4.0,45429.0,7.47,2.45,9.92,7.0,2.92,141.71%,0.18,,,http://boxofficemojo.com/movies,
movies-0020,21,201,,date night,fox,66.0,58,pursuit,comedy,3374.0,7471.0,98.71,53.55,152.26,55.0,97.26,276.84%,25.2,,,http://boxofficemojo.com/movies,
movies-0021,22,201,,daybreakers,lionsgate,67.0,50,discovery,action,2523.0,6003.0,30.1,21.31,51.42,20.0,31.42,257.10%,15.1,,,,
movies-0022,23,201,,dear john,sony,29.0,66,love,drama,2969.0,10262.0,80.01,34.96,114.98,25.0,89.98,459.92%,30.4,,,,
movies-0023,24,201,,death at a funeral,independent,40.0,48,comedy,comedy,2459.0,6595.0,42.74,6.31,49.05,21.0,28.05,233.57%,16.2,,,,
movies-0024,25,201,,despicable me,universal,81.0,81,maturation,animation,3476.0,16225.0,251.38,290.5,541.88,69.0,472.88,785.33%,56.4,,,,
movies-0025,26,201,,devil,independent,52.0,45,monster force,horror,2809.0,4375.0,33.6,23.23,56.83,10.0,46.83,568.30%,12.3,,,,
movies-0026,27,201,,diary of a wimpy kid,independent,53.0,49,underdog,comedy,3077.0,7191.0,64.0,11.7,75.7,15.0,60.7,504.67%,22.1,,,,
movies-0027,28,201,,dinner for schmucks,paramount,43.0,47,comedy,comedy,2911.0,8082.0,73.03,13.38,86.41,69.0,17.41,125.23%,23.5,,,,
movies-0028,29,201,,due date,warner bros.,40.0,56,comedy,comedy,3355.0,9743.0,99.65,100.9,200.55,50.0,150.55,401.10%,32.69,,,http://boxofficemojo.com/movies/?id=duedate.htm,
movies-0029,30,201,,easy a,sony,85.0,75,maturation,comedy,2856.0,6209.0,58.4,15.24,73.64,8.0,65.64,920.50%,17.7,,,,
movies-0030,31,201,,eat pray love,sony,36.0,46,journey and return,drama,3082.0,7497.0,80.57,123.91,204.48,60.0,144.48,340.80%,23.1,,,,
movies-0031,32,201,,edge of darkness,warner bros.,55.0,56,revenge,crime,3066.0,5615.0,43.31,37.81,81.12,80.0,1.12,101.40%,17.2,,,,
movies-0032,33,201,,extraordinary measures,cbs,27.0,55,underdog,drama,2549.0,2359.0,12.07,3.07,15.13,31.0,-15.87,48.81%,6.0,,,,
